Data,NFLX,RADL3,CDI,IBOV ,T-Bond,AMZN,BBDC3,EMBR3,VVAR3,JHSF3,MSFT,061395,,,,,,,,,,,,,,
Nov-12,11.67,19.53,0.54,57474.00,1.61,252.05, 10.23 , 12.23 , 4.13 ,7.73,22.40,449.06,,,,,,,,,,,,,,
Dez-12,13.23,21.45,0.53,60952.00,1.75,250.87, 10.86 , 13.53 , 4.13 ,7.72,22.48,474.62,,,,,,,,,,,,,,
Jan-13,23.61,20.69,0.59,59761.00,1.99,265.50, 11.33 , 15.40 , 4.13 ,7.77,23.10,475.83,,,,,,,,,,,,,,
Fev-13,26.87,21.22,0.48,57424.00,1.89,264.27, 11.30 , 15.65 , 5.16 ,7.62,23.59,472.80,,,,,,,,,,,,,,
Mar-13,27.04,20.05,0.54,56352.00,1.87,266.49, 12.43 , 16.89 , 5.27 ,6.91,24.27,467.64,,,,,,,,,,,,,,
Abr-13,30.87,20.05,0.60,55910.00,1.70,253.81, 12.24 , 16.43 , 5.41 ,6.60,28.08,469.71,,,,,,,,,,,,,,
Mai-13,32.32,21.38,0.58,53506.00,2.16,269.20, 12.62 , 18.38 , 6.08 ,6.24,29.82,462.75,,,,,,,,,,,,,,
Jun-13,30.16,20.19,0.59,47457.00,2.52,277.69, 10.89 , 19.33 , 5.30 ,5.71,29.51,428.39,,,,,,,,,,,,,,
Jul-13,34.93,18.00,0.71,48234.00,2.59,301.22, 11.01 , 18.28 , 5.30 ,5.20,27.20,438.62,,,,,,,,,,,,,,
Ago-13,40.56,15.74,0.70,50011.00,2.75,280.98, 11.26 , 18.45 , 5.50 ,6.03,28.74,444.73,,,,,,,,,,,,,,
Set-13,44.17,17.11,0.70,52338.00,2.62,312.64, 12.30 , 16.83 , 5.66 ,5.89,28.63,466.68,,,,,,,,,,,,,,
Out-13,46.07,15.29,0.80,54256.00,2.57,364.03, 12.81 , 15.44 , 7.22 ,5.14,30.46,488.01,,,,,,,,,,,,,,
Nov-13,52.26,15.77,0.71,52482.00,2.75,393.62, 12.25 , 17.13 , 8.64 ,4.17,33.06,471.75,,,,,,,,,,,,,,
Dez-13,52.60,13.83,0.78,51507.00,3.04,398.79, 11.53 , 17.93 , 7.23 ,3.92,32.43,460.43,,,,,,,,,,,,,,
Jan-14,58.48,13.60,0.84,47638.00,2.67,358.69, 10.36 , 17.45 , 6.47 ,3.70,32.80,424.20,,,,,,,,,,,,,,
Fev-14,63.66,15.47,0.78,47094.00,2.66,362.10, 10.61 , 19.88 , 5.90 ,4.00,33.46,414.78,,,,,,,,,,,,,,
Mar-14,50.29,18.40,0.76,50414.00,2.72,336.37, 12.24 , 19.26 , 6.38 ,3.66,35.80,443.72,,,,,,,,,,,,,,
Abr-14,46.01,17.81,0.82,51626.00,2.65,304.13, 12.48 , 18.41 , 7.32 ,3.34,35.29,454.73,,,,,,,,,,,,,,
Mai-14,59.69,17.81,0.86,51239.00,2.46,312.55, 11.65 , 19.47 , 7.70 ,2.97,36.01,445.90,,,,,,,,,,,,,,
Jun-14,62.94,17.15,0.82,53168.00,2.52,324.78, 11.82 , 19.32 , 6.94 ,3.59,36.68,468.58,,,,,,,,,,,,,,
Jul-14,60.39,17.84,0.94,55829.00,2.56,312.99, 12.98 , 20.63 , 6.85 ,3.46,37.96,495.91,,,,,,,,,,,,,,
Ago-14,68.23,20.50,0.86,61288.00,2.34,339.04, 14.69 , 20.88 , 7.22 ,3.45,40.21,542.80,,,,,,,,,,,,,,
Set-14,64.45,19.76,0.90,54115.00,2.51,322.44, 12.85 , 23.17 , 6.74 ,3.35,41.03,468.56,,,,,,,,,,,,,,
Out-14,56.11,21.22,0.94,54628.00,2.34,305.46, 13.40 , 23.01 , 7.22 ,2.94,41.54,449.80,,,,,,,,,,,,,,
Nov-14,49.51,23.02,0.84,54724.00,2.19,338.64, 14.03 , 22.68 , 7.22 ,2.72,42.58,442.10,,,,,,,,,,,,,,
Dez-14,48.80,23.99,0.96,50007.00,2.17,310.35, 12.84 , 23.57 , 6.55 ,2.20,41.37,403.78,,,,,,,,,,,,,,
Jan-15,63.11,24.46,0.93,46907.00,1.67,354.53, 12.54 , 22.89 , 7.61 ,2.01,35.98,371.51,,,,,,,,,,,,,,
Fev-15,67.84,27.06,0.82,51583.00,2.00,380.16, 14.04 , 24.01 , 7.41 ,1.91,39.33,407.31,,,,,,,,,,,,,,
Mar-15,59.53,27.29,1.04,51150.00,1.93,372.10, 13.60 , 23.71 , - ,1.87,36.47,387.08,,,,,,,,,,,,,,
Abr-15,79.50,32.59,0.95,56229.00,2.05,421.78, 13.57 , 22.72 , 5.47 ,1.76,43.63,417.89,,,,,,,,,,,,,,
Mai-15,89.15,33.94,0.98,52760.00,2.10,429.23, 11.84 , 23.07 , 6.36 ,1.67,42.31,387.92,,,,,,,,,,,,,,
Jun-15,93.85,38.30,1.07,53080.00,2.34,434.09, 12.73 , 22.91 , 6.84 ,1.75,39.86,383.35,,,,,,,,,,,,,,
Jul-15,114.31,41.58,1.18,50864.00,2.20,536.15, 12.60 , 23.14 , 7.66 ,1.83,42.16,380.78,,,,,,,,,,,,,,
Ago-15,115.03,37.94,1.11,46625.00,2.20,512.89, 11.47 , 22.29 , 7.66 ,1.56,39.55,342.87,,,,,,,,,,,,,,
Set-15,103.26,37.48,1.11,45059.00,2.06,511.89, 10.77 , 24.73 , 2.70 ,1.36,40.22,324.42,,,,,,,,,,,,,,
Out-15,108.38,38.33,1.11,45868.00,2.15,625.90, 10.70 , 27.43 , 2.88 ,1.64,47.84,341.25,,,,,,,,,,,,,,
Nov-15,123.33,38.00,1.06,45120.00,2.22,664.80, 10.97 , 29.49 , 2.88 ,1.27,49.73,320.20,,,,,,,,,,,,,,
Dez-15,114.38,34.12,1.16,43349.00,2.27,675.89, 9.74 , 29.32 , 1.44 ,1.19,50.76,312.79,,,,,,,,,,,,,,
Jan-16,91.84,39.89,1.05,40405.00,1.93,587.00, 9.32 , 27.94 , 1.22 ,1.17,50.40,287.17,,,,,,,,,,,,,,
Fev-16,93.41,44.25,1.00,42793.00,1.74,552.52, 11.08 , 29.33 , 2.24 ,1.09,46.89,301.63,,,,,,,,,,,,,,
Mar-16,102.23,50.34,1.16,50055.00,1.79,593.64, 14.33 , 23.21 , 2.41 ,1.46,50.89,344.04,,,,,,,,,,,,,,
Abr-16,90.03,53.08,1.05,53910.00,1.82,659.59, 14.73 , 20.02 , 2.95 ,1.38,45.95,372.61,,,,,,,,,,,,,,
Mai-16,102.57,55.68,1.11,48471.00,1.83,722.79, 12.86 , 18.29 , 2.59 ,1.05,49.18,337.10,,,,,,,,,,,,,,
Jun-16,91.48,61.04,1.16,51526.00,1.49,715.62, 14.27 , 17.07 , 3.08 ,1.01,47.48,361.41,,,,,,,,,,,,,,
Jul-16,91.25,64.07,1.11,57308.00,1.46,758.81, 15.44 , 14.46 , 2.88 ,1.72,52.60,406.96,,,,,,,,,,,,,,
Ago-16,97.45,57.69,1.21,57901.00,1.57,769.16, 15.40 , 13.97 , 2.87 ,1.61,53.65,412.47,,,,,,,,,,,,,,
Set-16,98.55,64.22,1.11,58367.00,1.61,837.31, 15.01 , 13.68 , 3.07 ,1.50,53.78,408.80,,,,,,,,,,,,,,
Out-16,124.87,68.66,1.05,64924.00,1.83,789.82, 17.15 , 16.75 , 3.73 ,1.63,55.95,480.16,,,,,,,,,,,,,,
Nov-16,117.00,62.48,1.04,61906.00,2.37,750.57, 15.76 , 16.18 , 3.61 ,1.39,56.65,468.84,,,,,,,,,,,,,,
Dez-16,123.80,59.44,1.12,60227.00,2.45,749.87, 15.92 , 15.62 , 3.58 ,1.32,58.41,465.25,,,,,,,,,,,,,,
Jan-17,140.71,63.63,1.08,64670.00,2.45,823.48, 17.57 , 17.58 , 3.23 ,1.93,60.77,498.05,,,,,,,,,,,,,,
Fev-17,142.13,57.70,0.86,66662.00,2.36,845.04, 17.85 , 17.51 , 4.02 ,2.38,60.51,535.70,,,,,,,,,,,,,,
Mar-17,147.81,57.15,1.05,64984.00,2.40,886.54, 17.54 , 17.02 , 3.62 ,2.31,62.29,520.41,,,,,,,,,,,,,,
Abr-17,152.20,65.70,0.79,65403.00,2.28,924.99, 17.82 , 15.13 , 4.48 ,2.26,64.74,518.04,,,,,,,,,,,,,,
Mai-17,163.07,70.13,0.93,62711.00,2.20,994.62, 16.30 , 15.77 , 3.67 ,2.03,66.43,474.58,,,,,,,,,,,,,,
Jun-17,149.41,68.43,0.81,62899.00,2.30,968.00, 16.65 , 14.94 , 4.00 ,1.77,65.56,468.61,,,,,,,,,,,,,,
Jul-17,181.66,67.35,0.80,65920.00,2.29,987.78, 18.31 , 15.57 , 5.83 ,1.71,69.15,492.43,,,,,,,,,,,,,,
Ago-17,174.71,67.69,0.80,70835.05,2.12,980.60, 19.60 , 17.71 , 6.67 ,1.83,71.50,523.13,,,,,,,,,,,,,,
Set-17,181.35,73.36,0.64,74293.51,2.33,961.35, 20.31 , 17.71 , 7.80 ,2.19,71.23,554.79,,,,,,,,,,,,,,
Out-17,196.43,76.50,0.64,74308.49,2.38,1105.28, 19.94 , 15.51 , 7.56 ,2.07,79.54,554.89,,,,,,,,,,,,,,
Nov-17,187.58,86.07,0.57,71970.99,2.42,1176.75, 18.49 , 15.49 , 7.32 ,1.77,80.89,521.66,,,,,,,,,,,,,,
Dez-17,191.96,89.95,0.54,76402.08,2.40,1169.47, 20.00 , 19.88 , 7.92 ,1.64,82.21,549.40,,,,,,,,,,,,,,
Jan-18,270.30,82.73,0.58,84912.70,2.72,1450.89, 24.55 , 19.90 , 8.09 ,1.78,91.31,618.33,,,,,,,,,,,,,,
Fev-18,291.38,76.17,0.46,85353.60,2.87,1512.45, 23.00 , 21.63 , 7.87 ,1.68,90.54,619.84,,,,,,,,,,,,,,
Mar-18,295.35,73.44,0.53,85365.56,2.74,1447.34, 24.03 , 21.45 , 8.14 ,1.45,88.12,627.09,,,,,,,,,,,,,,
Abr-18,312.46,67.53,0.52,86115.50,2.94,1566.13, 21.93 , 22.10 , 8.11 ,1.57,90.30,617.13,,,,,,,,,,,,,,
Mai-18,351.60,61.14,0.52,76753.61,2.82,1629.62, 17.94 , 22.45 , 6.50 ,1.09,95.85,552.80,,,,,,,,,,,,,,
Jun-18,391.43,65.34,0.52,72762.52,2.85,1699.80, 16.78 , 24.24 , 5.89 ,1.03,95.62,530.18,,,,,,,,,,,,,,
Jul-18,337.45,73.17,0.54,79220.44,2.96,1777.44, 19.34 , 19.23 , 7.15 ,1.00,102.87,572.35,,,,,,,,,,,,,,
Ago-18,367.68,75.77,0.57,76677.53,2.85,2012.71, 17.43 , 19.58 , 5.70 ,1.11,109.35,546.99,,,,,,,,,,,,,,
Set-18,374.13,71.43,0.47,79342.43,3.06,2003.00, 17.89 , 19.82 , 5.06 ,1.06,111.33,552.28,,,,,,,,,,,,,,
Out-18,301.78,61.95,0.54,87423.55,3.16,1598.01, 21.03 , 20.92 , 5.60 ,1.48,103.97,621.25,,,,,,,,,,,,,,
Nov-18,286.13,61.27,0.49,89504.03,3.01,1690.17, 23.36 , 21.79 , 5.18 ,1.82,108.41,664.95,,,,,,,,,,,,,,
Dez-18,267.66,56.51,0.49,87887.27,2.69,1501.97, 24.03 , 21.68 , 4.39 ,1.80,99.30,671.36,,,,,,,,,,,,,,
Jan-19,339.50,61.31,0.54,97393.75,2.64,1718.73, 28.60 , 19.34 , 6.00 ,1.75,102.10,749.66,,,,,,,,,,,,,,
Fev-19,358.10,64.68,0.49,95584.35,2.71,1639.83, 27.38 , 19.08 , 4.58 ,2.14,109.99,730.40,,,,,,,,,,,,,,
Mar-19,356.56,64.74,0.47,95414.56,2.41,1780.75, 26.91 , 18.45 , 4.22 ,2.29,115.80,711.79,,,,,,,,,,,,,,
Abr-19,370.54,68.55,0.52,96353.33,2.51,1926.52, 26.46 , 19.64 , 4.10 ,2.39,128.23,722.84,,,,,,,,,,,,,,
Mai-19,343.28,68.83,0.54,97030.32,2.14,1775.07, 27.89 , 18.95 , 4.70 ,2.42,121.88,748.74,,,,,,,,,,,,,,
Jun-19,367.32,75.62,0.47,100967.20,2.00,1893.63, 28.59 , 19.41 , 5.07 ,2.82,132.01,781.52,,,,,,,,,,,,,,
Jul-19,322.99,82.48,0.57,101812.13,2.02,1866.78, 26.74 , 19.31 , 7.72 ,3.74,134.29,810.44,,,,,,,,,,,,,,
Ago-19,293.75,91.46,0.50,101134.61,1.51,1776.29, 26.06 , 17.95 , 7.73 ,3.96,136.31,809.38,,,,,,,,,,,,,,
Set-19,267.62,95.36,0.46,104745.32,1.68,1735.91, 26.89 , 17.91 , 7.92 ,4.15,137.47,823.58,,,,,,,,,,,,,,
Out-19,287.41,109.48,0.48,107219.83,1.69,1776.66, 29.13 , 17.53 , 7.42 ,4.41,141.76,827.96,,,,,,,,,,,,,,
Nov-19,314.66,112.46,0.38,108233.28,1.78,1800.80, 27.72 , 18.00 , 8.81 ,5.55,150.19,832.36,,,,,,,,,,,,,,
Dez-19,323.57,111.28,0.37,115645.34,1.92,1847.84, 30.69 , 19.73 , 11.17 ,7.06,156.46,912.60,,,,,,,,,,,,,,
Jan-20,345.09,123.82,0.38,113760.57,1.52,2008.72, 28.26 , 18.14 , 14.00 ,7.80,168.89,884.91,,,,,,,,,,,,,,
Fev-20,369.03,119.51,0.29,104171.57,1.13,1883.75, 24.66 , 16.96 , 13.81 ,6.95,161.17,817.25,,,,,,,,,,,,,,
Mar-20,375.50,101.65,0.34,73019.76,0.70,1949.72, 17.01 , 9.54 , 5.28 ,3.47,156.89,591.15,,,,,,,,,,,,,,
Abr-20,419.85,104.64,0.28,80505.89,0.62,2474.00, 17.48 , 8.65 , 9.18 ,4.12,178.28,626.59,,,,,,,,,,,,,,
Mai-20,419.73,109.29,0.24,87402.59,0.65,2442.37, 17.74 , 7.15 , 12.40 ,4.74,182.81,666.15,,,,,,,,,,,,,,
Jun-20,455.04,110.62,0.21,95055.82,0.65,2758.82, 18.91 , 8.09 , 15.31 ,7.03,203.02,724.31,,,,,,,,,,,,,,
Jul-20,488.88,124.10,0.19,102912.24,0.54,3164.68, 20.69 , 7.61 , 19.52 ,9.14,204.52,778.62,,,,,,,,,,,,,,
