Data,ABEV3,AAPL,BBDC4,LAME4,WMT,DOLOF,IBOV,OZ1D,BOND10,HTMX11,149454,FLRY3
jun/16,16.986,22.437,13.245,15.7,66.343,3.21,51526,136,1.49,79.172,17.621,11.397
jul/16,16.876,24.458,14.929,18.739,66.298,3.239,57308,140.3,1.458,92.373,17.823,12.939
ago/16,17.226,25.036,15.307,18.818,65.352,3.24,57901,134.55,1.57,99.169,18.044,15.947
set/16,17.792,26.676,15.639,19.757,65.974,3.246,58367,139,1.608,95.518,18.251,15.997
out/16,16.903,26.792,18.019,20.277,64.053,3.181,64924,129.5,1.834,97.176,18.447,17.624
nov/16,15.527,26.213,16.04,16.045,64.428,3.397,61906,127,2.37,95.476,18.64,16.293
dez/16,15.051,27.47,15.811,16.653,63.682,3.259,60227,118.8,2.446,95.781,18.864,15.718
jan/17,15.849,28.782,17.84,16.412,61.49,3.127,64670,121.69,2.45,96.181,19.086,16.745
fev/17,16.439,32.632,18.243,16.088,65.35,3.099,66662,124.2,2.358,98.832,19.266,19.1
mar/17,16.807,34.221,17.685,16.049,66.898,3.168,64984,125,2.396,109.479,19.474,18.855
abr/17,16.826,34.219,18.259,16.52,69.775,3.198,65403,129,2.28,101.468,19.628,23.41
mai/17,17.24,36.539,16.554,14.323,73.437,3.244,62711,131,2.196,98.162,19.799,25.305
jun/17,17.021,34.448,16.944,13.734,70.709,3.308,62899,131.5,2.302,97.797,19.971,23.892
jul/17,17.802,35.575,18.308,15.372,74.736,3.131,65920,126.7,2.29,99.505,20.145,26.771
ago/17,18.462,39.381,20.377,17.432,73.401,3.147,70835,132,2.12,95.097,20.316,28.441
set/17,19.559,37.009,21.28,18.884,73.467,3.168,74294,133.1,2.33,100.595,20.46,26.441
out/17,19.429,40.592,21.067,17.246,82.088,3.277,74308,133.5,2.38,104.034,20.591,25.911
nov/17,19.113,41.415,19.845,14.548,91.415,3.262,71971,132,2.42,102.255,20.708,23.534
dez/17,20.08,40.783,21.1,16.726,93.333,3.308,76402,135.3,2.4,104.503,20.83,26.566
jan/18,20.712,40.35,25.415,16.656,100.753,3.162,84913,136,2.72,112.405,20.964,27.036
fev/18,20.825,43.101,24.192,16.636,85.073,3.245,85354,141,2.868,119.057,21.049,24.449
mar/18,22.785,40.599,24.66,18.568,84.591,3.324,85366,141.45,2.74,121.113,21.173,25.026
abr/18,22.084,39.989,23.753,19.662,84.106,3.481,86116,147.4,2.936,121.422,21.279,24.076
mai/18,18.639,45.392,20.054,17.514,78.972,3.737,76754,156.2,2.82,108.916,21.366,22.665
jun/18,17.167,44.965,18.505,16.43,81.947,3.856,72763,156.65,2.85,103.673,21.474,24.39
jul/18,18.532,46.223,21.166,17.878,85.373,3.755,79220,146.1,2.96,106.199,21.594,25.247
ago/18,17.997,55.487,19.688,15.375,92.249,4.135,76678,157,2.85,102.886,21.697,23.857
set/18,17.511,55.027,19.902,15.641,90.372,4.004,79342,154,3.06,103.79,21.801,19.773
out/18,15.601,53.35,23.827,18.529,96.502,3.718,87424,145.99,3.16,117.381,21.934,19.355
nov/18,16.155,43.683,26.73,19.426,93.971,3.863,89504,150.7,3.01,129.346,22.04,20.051
dez/18,14.986,38.585,27.407,19.416,90.13,3.875,87887,158.2,2.686,134.801,22.16,18.362
jan/19,17.062,40.713,32.109,20.847,92.723,3.652,97394,154.99,2.635,137.779,22.296,20.814
fev/19,16.789,42.536,30.71,19.699,95.781,3.739,95584,158,2.711,146.246,22.413,18.684
mar/19,16.399,46.663,30.489,16.592,94.876,3.897,95415,160.5,2.414,150.502,22.524,19.736
abr/19,17.997,49.297,30.332,15.553,100.041,3.945,96353,162,2.509,149.065,22.648,20.074
mai/19,17.101,43.173,31.56,15.969,99.204,3.941,97030,164.2,2.142,153.18,22.771,19.155
jun/19,17.432,48.808,32.207,16.295,108.054,3.832,100967,175.35,2,194.836,22.879,20.655
jul/19,19.615,52.537,29.606,17.958,107.947,3.765,101812,179.9,2.021,172.526,23.01,22.763
ago/19,18.241,51.672,28.292,18.531,112.291,4.139,101135,212.2,1.506,163.164,23.127,23.417
set/19,18.757,55.442,29.141,19.748,116.635,4.164,104745,204,1.675,151.522,23.247,25.778
out/19,16.935,61.579,31.162,19.778,115.239,4.004,107220,203.09,1.691,162.854,23.353,24.832
nov/19,17.588,66.355,29.583,22.044,117.038,4.224,108233,207.5,1.776,185.349,23.416,27.808
dez/19,18.67,72.91,32.578,25.896,117.316,4.031,115645,202.65,1.919,186.003,23.507,29.788
jan/20,17.85,76.847,29.639,27.55,113.022,4.27,113761,217,1.52,166.449,23.603,30.357
fev/20,14.54,68.033,27.583,26.6,106.299,4.499,104172,229,1.127,154.288,23.668,29.76
mar/20,11.92,63.287,18.776,18,112.659,5.199,73020,263.9,0.698,112.77,23.539,20.24
abr/20,11.34,73.12,19.061,24.88,120.522,5.427,80506,295.4,0.622,116.04,23.587,22.8
mai/20,12.48,79.342,18.882,28.25,123.552,5.426,87403,292.2,0.648,109.45,23.683,23.35
jun/20,14.14,91.036,20.645,32.18,119.29,5.476,95056,310,0.653,131,23.755,24.59
jul/20,13.9,106.069,22.401,34.1,128.87,5.203,102912,327.99,0.536,123.95,23.857,25.61
