Data,BRFS3,MRFG3,ITSA3,ABEV3,UGPA3,GGBR3,FRLY3,CIEL3,IGTA3,IBOV,DINAMO
01/05/2018,21.42,7.91,9.301126253,18.63879138,21.53666319,10.91497914,22.66540827,14.69398494,30.42745111,76753.61,733.9672678
01/06/2018,18,8.14,8.562429933,17.16680964,25.16066841,10.21908964,24.38974974,14.32121718,29.86577314,72762.52,709.7655079
01/07/2018,22.65,8.2,9.340832655,18.53213432,24.94342559,11.8587197,25.24730994,12.52734332,32.59669014,79220.44,769.2052046
01/08/2018,20.13,5.72,8.832882285,17.99746172,19.08,12.26663199,23.85724853,13.18208251,29.67209109,76677.53,753.4666173
01/09/2018,21.97,5.3,9.279165982,17.51052774,12.53,12.87417744,19.77273905,11.16120563,30.0691393,79342.43,778.0276589
01/10/2018,21.9,6.41,10.3926659,15.60098273,14.5,12.50772145,19.35500513,12.02676852,37.63242362,87423.55,825.1654446
01/11/2018,22.17,6.2,11.3117452,16.15475078,17.12,11.86191149,20.05122834,8.673851235,37.89389439,89504.03,850.2003542
01/12/2018,21.93,5.46,11.77961892,14.98639395,18.38,11.93013941,18.36172669,8.388488281,40.28586779,87887.27,834.3789663
01/01/2019,23.54,6.08,13.72812731,17.06188284,18.94,12.37849432,20.81361219,11.26642858,43.14267813,97393.75,921.6282142
01/02/2019,20.57,5.5,13.93635773,16.78904862,,12.16406371,18.68367342,10.4985814,40.67323191,95584.35,927.1908237
01/03/2019,22.65,5.98,13.63865183,16.39928545,,11.98790672,19.73569363,9.218203682,37.88503732,95414.56,936.9888858
01/04/2019,31.05,7.32,12.83856721,17.99731445,,11.41798985,20.07429622,7.4600426,37.80999339,96353.33,953.1975524
01/05/2019,27.7,6.83,13.21069959,17.10085916,,11.40956246,19.15523205,6.508110081,39.61235557,97030.32,992.7867338
01/06/2019,29.52,6.29,12.2604236,17.43215785,,12.35871151,20.65475779,6.65532358,45.50469346,100967.2,1040.62611
01/07/2019,33.41,6.63,11.80391846,19.61483161,,11.69628457,22.76328748,7.170318858,47.62395449,101812.13,1094.406629
01/08/2019,38.14,8.35,11.92885551,18.24091643,,10.93314891,23.41701241,7.675410379,45.55420891,101134.61,1109.422683
01/09/2019,38.2,11.02,12.72475182,18.75735263,,10.93314891,25.77822782,7.953175617,47.06938151,104745.32,1123.613921
01/10/2019,35.51,10.75,13.23297476,16.93520981,,11.09232124,24.83179024,7.515750958,47.4357958,107219.83,1126.200206
01/11/2019,36.6,10.7,12.74393004,17.58806312,,14.26099459,27.80770223,7.77060424,47.00005989,108233.28,1218.701671
01/12/2019,35.2,9.96,13.49879049,18.67,,17.07527064,29.7883912,8.338456088,52.38734024,115645.34,1330.00646
01/01/2020,30.55,10.97,12.60527625,17.85,,18.24289581,30.35705007,7.07,52.7834638,113760.57,1407.565366
01/02/2020,27.04,12.07,12.65020645,14.54,,14.75,29.76,6.85,49.53536437,104171.57,1290.789332
01/03/2020,15.09,8.85,9.895405199,11.92,,9.3,20.24,4.44,31.0652245,73019.76,876.9413515
01/04/2020,19.39,12.84,10.58161923,11.34,,10.75,22.8,4.06,32.72535009,80505.89,1012.56247
01/05/2020,23.13,13.03,10.37277148,12.48,,11,23.35,4.09,32.39730132,87402.59,1112.707395
01/06/2020,21.26,12.61,10.92080456,14.14,,13.45,24.59,4.62,33.35,95055.82,1258.880475
01/07/2020,20.7,14.41,12.10654885,13.9,,14.73,25.61,5.37,33.55,102912.24,1411.857886
