Data,AMZN,AAPL,BBDC4,BBAS3,ITSA4,PETR4,CDI 252,OZ1D,S&P 500,LFT 252 ,EURO11
dez/18,1501,97,38,585,27,407,42,952,10,566,21,953,6,4,158,2,2506,85,6,4,150,838
jan/19,1718,73,40,713,32,109,47,913,11,808,24,76,6,4,154,99,2704,1,6,4,142,892
fev/19,1639,83,42,536,30,71,47,274,11,465,26,192,6,4,158,2784,49,6,4,141,317
mar/19,1780,75,46,663,30,489,45,65,11,122,27,16,6,4,160,5,2834,4,6,4,140,414
abr/19,1926,52,49,297,30,332,46,549,11,057,26,259,6,4,162,2945,83,6,4,138,611
mai/19,1775,07,43,173,31,56,48,996,11,503,24,842,6,4,164,2,2752,06,6,4,140,057
jun/19,1893,63,48,808,32,207,51,136,11,986,26,65,6,4,175,35,2941,76,6,4,143,498
jul/19,1866,78,52,537,29,606,46,661,11,596,25,357,6,4,179,9,2980,38,6,4,151,137
ago/19,1776,29,51,672,28,292,44,252,11,741,24,988,5,9,212,2,2926,46,5,9,158,104
set/19,1735,91,55,442,29,141,43,747,12,611,26,997,5,4,204,2976,71,5,4,172,225
out/19,1776,66,61,579,31,162,46,305,13,118,29,78,4,9,203,09,3037,56,4,9,167,115
nov/19,1800,8,66,355,29,583,46,343,12,697,28,753,4,9,207,5,3140,98,4,9,182,652
dez/19,1847,84,72,91,32,578,51,388,13,508,30,179,4,4,202,65,3230,78,4,4,203,108
jan/20,2008,72,76,847,29,639,47,224,12,329,28,449,4,4,217,3225,52,4,4,203,788
fev/20,1883,75,68,033,27,583,46,11,913,25,339,4,15,229,2954,21,4,15,182,854
mar/20,1949,72,63,287,18,776,27,516,8,714,13,99,3,65,263,9,2584,59,3,65,157,346
abr/20,2474,73,12,19,061,28,118,8,942,18,05,3,65,295,4,2912,43,3,65,154,598
mai/20,2442,37,79,342,18,882,30,426,8,803,20,34,2,9,292,2,3044,31,2,9,181,233
jun/20,2758,82,91,036,20,645,31,719,9,55,21,55,2,15,310,3100,29,2,15,196,727
jul/20,3164,68,106,069,22,401,33,13,10,625,22,2,2,15,327,99,3271,12,2,15,205,534
