Data,Petrobras,Vale ,Embraer,Itau Unibanco,JBS,RaiaDrogasil,Engie Brasil,Natura,Amazon (NASDAQ),Lojas Renner
Abr-17,12.97226955,25.44714663,15.13024665,21.51081863,9.951045696,65.69892713,21.29434233,14.71147762,924.99,23.55307914
Mai-17,12.03440325,25.16923823,15.77052401,19.48552943,7.844560333,70.13080435,21.17100013,15.83976285,994.62,23.09682781
Jun-17,11.48654075,26.86447952,14.94177945,20.15177168,6.347581038,68.43014273,21.64969323,12.49867686,968,24.04001788
Jul-17,12.34083481,28.99511065,15.57381771,20.47268597,7.484896477,67.34673867,22.33901129,12.18256246,987.78,25.72580438
Ago-17,12.67512379,32.4967566,17.70694684,22.36709272,8.42779902,67.68835256,24.00590561,14.34673024,980.6,26.86722232
Set-17,14.20728161,29.52313663,17.70560307,24.03901003,8.262548059,73.35739926,24.10565314,15.17349097,961.35,31.72571811
Out-17,15.57229494,29.73619974,15.50848519,23.32618834,7.32936616,76.49709594,23.80641055,15.06163511,1105.28,30.33562841
Nov-17,14.28156805,32.55233829,15.48869134,22.90167225,7.689030017,86.07268179,23.9738105,14.1813781,1176.75,29.85173643
Dez-17,14.95014601,37.69369895,19.88373603,23.72063021,9.535952524,89.94947763,24.02794273,16.17021071,1169.47,31.29449845
Jan-18,18.2930358,38.80784454,19.90361976,29.1234614,9.769247999,82.72804353,24.31890345,17.07996848,1450.89,33.38432548
Fev-18,19.92733747,42.17836904,21.6335048,29.33300842,9.633158972,76.17290186,26.49095911,16.7913894,1512.45,30.4391684
Mar-18,19.88090845,39.96835375,21.44532627,29.88338453,9.088802865,73.44122032,26.49772563,15.80442581,1447.34,30.35421431
Abr-18,21.32949403,46.08528257,22.09961359,29.71734955,8.505564178,67.53057666,25.70156385,15.90814235,1566.13,28.93369764
Mai-18,17.65970676,47.94119286,22.44897514,25.04660621,8.727189374,61.13883408,25.70156385,16.6539137,1629.62,26.32513981
Jun-18,15.99422335,46.95642413,24.23595146,23.51635272,9.088786246,65.3409137,23.78384781,14.94999904,1699.8,26.12638732
Jul-18,18.34823062,51.92761241,19.23091779,26.24267507,8.815145369,73.17395095,25.97949371,14.37214972,1777.44,27.46962344
Ago-18,17.96505229,52.23583834,19.58057084,25.09630182,9.18651513,75.7718427,26.90370301,14.32276089,2012.71,25.15676654
Set-18,19.67201208,58.27578981,19.82076386,26.20991124,9.166969353,71.42986794,25.86838435,14.01655014,2003,27.64766856
Out-18,25.76296698,55.24607222,20.92025151,29.26075322,10.01721065,61.95256529,29.01808617,16.09581991,1598.01,33.53394638
Nov-18,23.84292231,51.43700605,21.7898463,32.11045997,11.50268969,61.27209299,32.13468984,20.20497062,1690.17,34.8717368
Dez-18,21.95256894,49.68347175,21.68,31.66979485,11.3267777,56.51431617,31.29960595,22.2249738,1501.97,37.89897014
Jan-19,24.75955527,44.32545029,19.34,34.61052964,14.74728865,61.31036925,39.66954903,23.55397052,1718.73,40.66988541
Fev-19,26.19208622,45.88414744,19.08,33.02066233,13.12498917,64.68243956,39.01549911,24.09028665,1639.83,38.68555254
Mar-19,27.16001254,49.61527875,18.45,32.28457771,15.55843839,64.74288311,40.48474167,22.60144918,1780.75,39.23504006
Abr-19,26.2588231,48.8067046,19.64,31.73579149,19.32100044,68.55012156,42.17200086,26.01233102,1926.52,42.24363253
Mai-19,24.84157986,47.73510031,18.95,32.8479285,21.36596113,68.8277327,44.00362275,29.86637853,1775.07,43.65295509
Jun-19,26.65000798,50.48230404,19.41,34.04504465,20.74042521,75.61794915,41.29614596,28.12857158,1893.63,46.82418303
